vulnerability_id,cvss_base_score,cvss_exploitability_score,cvss_impact_score,rf_prediction,rf_confidence,nn_prediction,nn_confidence,model_agreement,has_exploit,age_days,affected_products_count,base_risk_score,ml_enhanced_score,temporal_adjustment,exploit_adjustment,confidence_weight,final_risk_score,risk_level,remediation_priority,primary_factors,contributing_features,explanation_text,timestamp,priority_rank
SCAN-6567,8.114980551160203,3.5,4.868988330696122,0,1.0,0,0.977888822555542,True,True,30,1,75.0192607380662,100.0,1.2,1.625,0.9988944411277771,92.40350763757529,Critical,Immediate (0-24 hours),"['CVSS: 8.1', 'Exploitability: 3.5', 'Impact: 4.9', 'Exploit Available', 'Recent (30d)']",{},"Risk Level: Critical (92.4/100) | Key Factors: High CVSS score (8.1), Public exploit available, High exploitability (3.5), Recent disclosure (30 days) | Both ML models agree: Low risk (Conf: 99%) | Action: Immediate (0-24 hours)",2026-01-27T20:20:24.673462,1
SCAN-9998,8.087533109340175,3.5,4.852519865604105,0,1.0,0,0.9819455742835999,True,True,30,1,74.85800701737351,100.0,1.2,1.625,0.9990972787141801,92.37393884030007,Critical,Immediate (0-24 hours),"['CVSS: 8.1', 'Exploitability: 3.5', 'Impact: 4.9', 'Exploit Available', 'Recent (30d)']",{},"Risk Level: Critical (92.4/100) | Key Factors: High CVSS score (8.1), Public exploit available, High exploitability (3.5), Recent disclosure (30 days) | Both ML models agree: Low risk (Conf: 99%) | Action: Immediate (0-24 hours)",2026-01-27T20:20:24.673056,2
SCAN-6567,8.086788459281818,3.5,4.85207307556909,0,1.0,0,0.9820418357849121,True,True,30,1,74.85363219828068,100.0,1.2,1.625,0.9991020917892457,92.37307257744472,Critical,Immediate (0-24 hours),"['CVSS: 8.1', 'Exploitability: 3.5', 'Impact: 4.9', 'Exploit Available', 'Recent (30d)']",{},"Risk Level: Critical (92.4/100) | Key Factors: High CVSS score (8.1), Public exploit available, High exploitability (3.5), Recent disclosure (30 days) | Both ML models agree: Low risk (Conf: 99%) | Action: Immediate (0-24 hours)",2026-01-27T20:20:24.671916,3
SCAN-5727,8.085711622950939,3.5,4.851426973770563,0,1.0,0,0.9821778535842896,True,True,30,1,74.84730578483675,100.0,1.2,1.625,0.9991088926792145,92.37180512835826,Critical,Immediate (0-24 hours),"['CVSS: 8.1', 'Exploitability: 3.5', 'Impact: 4.9', 'Exploit Available', 'Recent (30d)']",{},"Risk Level: Critical (92.4/100) | Key Factors: High CVSS score (8.1), Public exploit available, High exploitability (3.5), Recent disclosure (30 days) | Both ML models agree: Low risk (Conf: 99%) | Action: Immediate (0-24 hours)",2026-01-27T20:20:24.671593,4
SCAN-4221,8.23673672621954,3.5,4.942042035731724,0,0.975,0,0.9471549987792969,True,True,30,1,75.73457826653978,100.0,1.2,1.625,0.9961077499389649,92.35948260062536,Critical,Immediate (0-24 hours),"['CVSS: 8.2', 'Exploitability: 3.5', 'Impact: 4.9', 'Exploit Available', 'Recent (30d)']",{},"Risk Level: Critical (92.4/100) | Key Factors: High CVSS score (8.2), Public exploit available, High exploitability (3.5), Recent disclosure (30 days) | Both ML models agree: Low risk (Conf: 96%) | Action: Immediate (0-24 hours)",2026-01-27T20:20:24.672095,5
SCAN-5727,8.235812570915892,3.5,4.941487542549535,0,0.975,0,0.9474871754646301,True,True,30,1,75.72914885413086,100.0,1.2,1.625,0.9961243587732316,92.35940006695532,Critical,Immediate (0-24 hours),"['CVSS: 8.2', 'Exploitability: 3.5', 'Impact: 4.9', 'Exploit Available', 'Recent (30d)']",{},"Risk Level: Critical (92.4/100) | Key Factors: High CVSS score (8.2), Public exploit available, High exploitability (3.5), Recent disclosure (30 days) | Both ML models agree: Low risk (Conf: 96%) | Action: Immediate (0-24 hours)",2026-01-27T20:20:24.673175,6
SCAN-4221,8.23231455344893,3.5,4.939388732069358,0,0.975,0,0.948726236820221,True,True,30,1,75.70859800151246,100.0,1.2,1.625,0.996186311841011,92.3590025342049,Critical,Immediate (0-24 hours),"['CVSS: 8.2', 'Exploitability: 3.5', 'Impact: 4.9', 'Exploit Available', 'Recent (30d)']",{},"Risk Level: Critical (92.4/100) | Key Factors: High CVSS score (8.2), Public exploit available, High exploitability (3.5), Recent disclosure (30 days) | Both ML models agree: Low risk (Conf: 96%) | Action: Immediate (0-24 hours)",2026-01-27T20:20:24.672080,7
SCAN-6567,8.230315997688436,3.5,4.938189598613062,0,0.975,0,0.9494214057922363,True,True,30,1,75.69685648641955,100.0,1.2,1.625,0.9962210702896118,92.35871593621084,Critical,Immediate (0-24 hours),"['CVSS: 8.2', 'Exploitability: 3.5', 'Impact: 4.9', 'Exploit Available', 'Recent (30d)']",{},"Risk Level: Critical (92.4/100) | Key Factors: High CVSS score (8.2), Public exploit available, High exploitability (3.5), Recent disclosure (30 days) | Both ML models agree: Low risk (Conf: 96%) | Action: Immediate (0-24 hours)",2026-01-27T20:20:24.673523,8
SCAN-5727,8.201171708794341,3.5,4.920703025276604,0,0.975,0,0.9585222601890564,True,True,30,1,75.52563378916675,100.0,1.2,1.625,0.9966761130094528,92.34970644593032,Critical,Immediate (0-24 hours),"['CVSS: 8.2', 'Exploitability: 3.5', 'Impact: 4.9', 'Exploit Available', 'Recent (30d)']",{},"Risk Level: Critical (92.3/100) | Key Factors: High CVSS score (8.2), Public exploit available, High exploitability (3.5), Recent disclosure (30 days) | Both ML models agree: Low risk (Conf: 97%) | Action: Immediate (0-24 hours)",2026-01-27T20:20:24.673100,9
SCAN-4221,8.056896744457765,3.5,4.834138046674659,0,1.0,0,0.9854981899261475,True,True,30,1,74.67801837368935,100.0,1.2,1.625,0.9992749094963074,92.33640468026111,Critical,Immediate (0-24 hours),"['CVSS: 8.1', 'Exploitability: 3.5', 'Impact: 4.8', 'Exploit Available', 'Recent (30d)']",{},"Risk Level: Critical (92.3/100) | Key Factors: High CVSS score (8.1), Public exploit available, High exploitability (3.5), Recent disclosure (30 days) | Both ML models agree: Low risk (Conf: 99%) | Action: Immediate (0-24 hours)",2026-01-27T20:20:24.673613,10
