feature,mean_abs_weight,mean_weight,std_weight,times_used,rank
age_days,0.0038488515712518717,-0.0038488515712518717,0.0030814872451082956,92,1
modification_span_days,0.0022902576977771216,-0.0022902576977771216,0.0019398370085551091,87,2
days_since_modified,0.0007729028189723178,1.1257808547054426e-05,0.0012467261548335085,56,3
has_exploit,0.0007692928431830496,5.612398224846625e-05,0.0014082144337672743,43,4
cvss_severity_encoded,0.0007558974453095286,0.00011991361551469164,0.001317617239325939,45,5
attack_vector_score,0.0007413388017575857,0.00011857650968441982,0.001251500811483232,49,6
publish_quarter,0.0007276876064095329,0.00011697834080985156,0.0012965685199330848,54,7
single_product,0.00072515774659677,0.00019065593688521486,0.0014282475715471632,39,8
confidentiality_score,0.0007108524815238186,-2.6937410892011476e-05,0.0012603424416455919,41,9
total_impact_score,0.0006792550393849195,-5.440545254743688e-05,0.0012039259709452981,45,10
privileges_required_score,0.000655453157264422,7.348364241522429e-05,0.0011890783890816483,41,11
availability_score,0.0006226337678542279,-0.00021483248894878986,0.0012936899001967156,32,12
is_high,0.000609404709867932,-0.00015181726589752584,0.0012368073511600567,33,13
attack_complexity_score,0.0006075115259292862,-1.2252224989045034e-05,0.0010957924740794176,40,14
cvss_scope_encoded,0.0006072723889364644,-0.0001545753605836945,0.0010500328578086921,47,15
exploit_cvss_interaction,0.0005987822183447517,9.873281719962817e-05,0.001114752922707227,42,16
user_interaction_score,0.0005839533579683454,-0.00011349556401982414,0.0011890727019953065,32,17
is_medium,0.000480394199935197,-6.146857983513255e-05,0.001091517980139829,29,18
high_impact,0.0004786556500196252,8.154957607256248e-05,0.0010956214143803503,25,19
integrity_score,0.00046279103583169346,-9.382040859462524e-05,0.0009820010570362962,34,20
multiple_products,0.0003581532991357823,-8.620962033815747e-05,0.001002454321336881,16,21
high_exploitability,0.00033756589496411623,-0.00011720997546205526,0.0011340405154514055,13,22
cvss_impact_score,0.0002458455795168394,-4.748159690627826e-05,0.0007632458214642658,16,23
cvss_base_score,0.0001161436840285529,2.780676226963719e-05,0.0008317754778313088,4,24
is_critical,5.099374750689051e-05,8.98901038397939e-06,0.00036602927087228833,3,25
cvss_exploitability_score,2.2523380836823046e-05,-2.1981423367242355e-05,0.00022145225197607688,2,26
is_low,0.0,0.0,0.0,0,27
affected_products_count,0.0,0.0,0.0,0,28
widespread,0.0,0.0,0.0,0,29
