feature,mean_abs_weight,mean_weight,std_weight,times_used,rank
affected_products_count,0.03828786009371782,0.03828786009371782,0.008809113354812036,97,1
total_impact_score,0.021810535673682775,0.02181053566691969,0.00507394291929384,100,2
exploit_cvss_interaction,0.010950814832438864,0.010950814825197658,0.0028452774021562486,99,3
attack_vector_score,0.009406334545974946,0.009406334545974946,0.0023608010038822604,99,4
modification_span_days,0.0019676786743692866,0.0018220402737234138,0.001548943161999428,84,5
age_days,0.000821372797812836,-8.745485635818322e-05,0.0012559200999315864,60,6
days_since_modified,0.0007419289400437089,-0.0001247973293645605,0.001188792797624073,46,7
publish_quarter,0.0007303540544900709,5.025125252305814e-06,0.0011779745244249302,54,8
cvss_impact_score,0.0007060384971130704,0.0007054266356245159,0.0013448791429260796,26,9
cvss_scope_encoded,0.0006865264560186144,-0.00024366477812880628,0.0012119520667998103,36,10
has_exploit,0.0006618126187276274,0.000243283372964731,0.0011895254231564008,33,11
attack_complexity_score,0.0005690454740121956,0.00018313271248477777,0.00106155371060243,32,12
single_product,0.0005283258021705911,9.751092925614587e-05,0.0010851856670657403,26,13
privileges_required_score,0.0005191597578997398,7.142625354275982e-05,0.0010892087763901572,26,14
confidentiality_score,0.0004648041801018064,-1.6536918518142238e-05,0.001000899075302072,24,15
availability_score,0.000438997489611036,-2.885244986528205e-06,0.0010580229646575967,20,16
high_impact,0.0004124577458318033,-6.864614893032431e-05,0.0010116090292496271,19,17
integrity_score,0.0003862056556674824,-2.312818185770719e-05,0.0009149100492617043,22,18
is_high,0.0003770788804981725,6.996249789218659e-05,0.0009303988050707281,20,19
user_interaction_score,0.0003650309581218246,-0.00011523085517845915,0.0009097550027794658,18,20
cvss_severity_encoded,0.0003649389081263408,-0.00011209558500794812,0.0008392515448628522,21,21
is_medium,0.0003220752533548102,-4.1193019026233764e-05,0.0008665519784423997,14,22
multiple_products,0.00018348886988803334,2.5142663986310562e-05,0.000708188079190925,7,23
high_exploitability,0.0001388661453853282,4.1274398657588344e-05,0.0005684189554019966,7,24
cvss_base_score,7.923050212623068e-05,-7.923050212623068e-05,0.0005411315876611849,5,25
cvss_exploitability_score,6.4369673373434e-05,-6.4369673373434e-05,0.00041407801703935985,3,26
is_critical,3.872678809481369e-05,3.8726772143237635e-05,0.0003853265977818145,2,27
is_low,0.0,0.0,0.0,0,28
widespread,0.0,0.0,0.0,0,29
