feature,importance,importance_normalized,rank
exploit_cvss_interaction,0.056915362027984126,0.14319381753779536,1
affected_products_count,0.05539403617623335,0.1393663015795551,2
cvss_scope_encoded,0.047212387275095274,0.11878202524073753,3
days_since_modified,0.046688171933273445,0.11746314764191912,4
cvss_base_score,0.0450383691910808,0.11331239564068027,5
total_impact_score,0.025391960172548064,0.06388383702254377,6
attack_vector_score,0.02121950208899667,0.053386316138702365,7
cvss_exploitability_score,0.02043718888202934,0.05141808804308192,8
is_critical,0.01461154056034152,0.03676129252968482,9
cvss_impact_score,0.013922640714857703,0.03502808386226876,10
is_medium,0.006732532660169677,0.016938433121686507,11
high_exploitability,0.0054520372613549375,0.013716824438854788,12
cvss_severity_encoded,0.005036515380783712,0.012671409594261114,13
age_days,0.004913064730343798,0.012360819108948493,14
has_exploit,0.004773628866627669,0.012010011296861217,15
high_impact,0.004486951299512947,0.01128875689778666,16
privileges_required_score,0.0038755711925750652,0.009750580764670677,17
integrity_score,0.003198121080362812,0.00804617857337153,18
is_high,0.003010795999768727,0.007574885894996692,19
modification_span_days,0.0017712981398349341,0.004456423250296656,20
single_product,0.0017397993373449304,0.004377175159522939,21
attack_complexity_score,0.0012550188929601868,0.0031575121366471622,22
confidentiality_score,0.0011934054530235536,0.003002498387075926,23
availability_score,0.001182896879478054,0.002976059782290861,24
multiple_products,0.0007800577034158473,0.001962553456076765,25
user_interaction_score,0.0006417834578428151,0.0016146681684276096,26
is_low,0.0003556027412602321,0.0008946637996068821,27
widespread,0.0001256195885148891,0.0003160473340770398,28
publish_quarter,0.00011494601222997767,0.000289193597571492,29
