cvss_base_score,cvss_v3_score,severity_score,exploitability_score,impact_score,access_complexity,complexity_low,authentication_required,requires_auth,access_vector,network_accessible,confidentiality_impact,integrity_impact,availability_impact,published_year,modified_year,vulnerability_age,reference_count,cpe_count,exploit_available,is_public_exploit,has_patch,has_known_exploited,temporal_cvss_score,epss_score,vendor_count,product_count,cwe_count,remediation_level,report_confidence
5.0,0,0,10.0,2.9,1,1,0,0,1,1,0,0,0,1998,2025,26,2,0,0,0,0,0,0.0,0.8878267899087593,1,1,1,3,3
7.2,0,0,3.9,10.0,1,1,0,0,1,1,0,0,0,1996,2025,28,2,0,0,0,0,0,0.0,0.5578416592280877,1,1,1,0,1
2.1,0,0,3.9,2.9,1,1,0,0,1,1,0,0,0,1997,2025,27,2,0,0,0,0,0,0.0,0.8115702059535408,1,1,1,1,2
7.2,0,0,3.9,10.0,1,1,0,0,1,1,0,0,0,1997,2025,27,2,0,0,0,0,0,0.0,0.02316484385570361,1,1,1,2,0
7.5,0,0,10.0,6.4,1,1,0,0,1,1,0,0,0,1997,2025,27,2,0,0,0,0,0,0.0,0.7411915606217367,1,1,1,0,0
2.1,0,0,3.9,2.9,1,1,0,0,1,1,0,0,0,1997,2025,27,2,0,0,0,0,0,0.0,0.7096750149509292,1,1,1,0,1
0.0,0,0,0.0,0.0,1,1,0,0,1,1,0,0,0,1994,2023,30,0,0,0,0,0,0,0.0,0.12346720399124445,1,1,0,1,1
0.0,0,0,0.0,0.0,1,1,0,0,1,1,0,0,0,1997,2023,27,0,0,0,0,0,0,0.0,0.02631651891743192,1,1,0,1,2
0.0,0,0,0.0,0.0,1,1,0,0,1,1,0,0,0,1992,2023,32,0,0,0,0,0,0,0.0,0.9457064165722086,1,1,0,3,2
10.0,0,0,10.0,10.0,1,1,0,0,1,1,0,0,0,1996,2025,28,2,0,0,0,0,0,0.0,0.12369510328831501,1,1,1,0,0
10.0,0,0,10.0,10.0,1,1,0,0,1,1,0,0,0,1991,2025,33,2,0,0,0,0,0,0.0,0.7956484087694439,1,1,1,2,1
7.5,0,0,10.0,6.4,1,1,0,0,1,1,0,0,0,1997,2025,27,2,0,0,0,0,0,0.0,0.1770018350492233,1,1,1,3,3
7.2,0,0,3.9,10.0,1,1,0,0,1,1,0,0,0,1996,2025,28,2,0,0,0,0,0,0.0,0.051073156213191195,1,1,1,2,1
5.0,0,0,10.0,2.9,1,1,0,0,1,1,0,0,0,1996,2025,28,3,0,0,0,0,0,0.0,0.11035962662814269,1,1,1,1,2
7.5,0,0,10.0,6.4,1,1,0,0,1,1,0,0,0,1997,2025,27,2,0,0,0,0,0,0.0,0.8891804607387304,1,1,1,3,3
7.5,0,0,10.0,6.4,1,1,0,0,1,1,0,0,0,1997,2025,27,2,0,0,0,0,0,0.0,0.9090501462502983,1,1,1,1,0
5.0,0,0,10.0,2.9,1,1,0,0,1,1,0,0,0,1998,2025,26,2,0,0,0,0,0,0.0,0.825759120512863,1,1,1,3,2
