vulnerability_id,cvss_base_score,cvss_exploitability_score,cvss_impact_score,rf_prediction,rf_confidence,nn_prediction,nn_confidence,model_agreement,has_exploit,age_days,affected_products_count,base_risk_score,ml_enhanced_score,temporal_adjustment,exploit_adjustment,confidence_weight,final_risk_score,risk_level,remediation_priority,primary_factors,contributing_features,explanation_text,timestamp,priority_rank
SCAN-3674,7.896078222803974,3.5,4.737646933682384,1,1.0,1,0.9495475888252258,True,True,30,1,73.73320955897334,100.0,1.2,1.625,0.9974773794412614,91.88757915549174,Critical,Immediate (0-24 hours),"['CVSS: 7.9', 'Exploitability: 3.5', 'Impact: 4.7', 'Exploit Available', 'Recent (30d)']",{},"Risk Level: Critical (91.9/100) | Key Factors: High CVSS score (7.9), Public exploit available, High exploitability (3.5), Recent disclosure (30 days) | Both ML models agree: Medium risk (Conf: 97%) | Action: Immediate (0-24 hours)",2025-11-16T22:42:39.444475,1
SCAN-5044,7.915047705554298,3.5,4.7490286233325785,1,1.0,1,0.9422343969345093,True,True,30,1,73.8446552701315,100.0,1.2,1.625,0.9971117198467255,91.8872317546376,Critical,Immediate (0-24 hours),"['CVSS: 7.9', 'Exploitability: 3.5', 'Impact: 4.7', 'Exploit Available', 'Recent (30d)']",{},"Risk Level: Critical (91.9/100) | Key Factors: High CVSS score (7.9), Public exploit available, High exploitability (3.5), Recent disclosure (30 days) | Both ML models agree: Medium risk (Conf: 97%) | Action: Immediate (0-24 hours)",2025-11-16T22:42:39.444897,2
SCAN-1699,7.882442670892248,3.5,4.729465602535348,1,1.0,1,0.9537099003791809,True,True,30,1,73.65310069149196,100.0,1.2,1.625,0.9976854950189591,91.88277371824886,Critical,Immediate (0-24 hours),"['CVSS: 7.9', 'Exploitability: 3.5', 'Impact: 4.7', 'Exploit Available', 'Recent (30d)']",{},"Risk Level: Critical (91.9/100) | Key Factors: High CVSS score (7.9), Public exploit available, High exploitability (3.5), Recent disclosure (30 days) | Both ML models agree: Medium risk (Conf: 98%) | Action: Immediate (0-24 hours)",2025-11-16T22:42:39.444742,3
SCAN-5044,7.850658802609133,3.5,4.7103952815654795,1,1.0,1,0.9623432755470276,True,True,30,1,73.46637046532865,100.0,1.2,1.625,0.9981171637773514,91.86661506097559,Critical,Immediate (0-24 hours),"['CVSS: 7.9', 'Exploitability: 3.5', 'Impact: 4.7', 'Exploit Available', 'Recent (30d)']",{},"Risk Level: Critical (91.9/100) | Key Factors: High CVSS score (7.9), Public exploit available, High exploitability (3.5), Recent disclosure (30 days) | Both ML models agree: Medium risk (Conf: 98%) | Action: Immediate (0-24 hours)",2025-11-16T22:42:39.444866,4
SCAN-1699,7.9523251736009755,3.5,4.771395104160585,1,1.0,1,0.9220662117004395,True,True,30,1,74.06366039490574,100.0,1.2,1.625,0.996103310585022,91.85974893497465,Critical,Immediate (0-24 hours),"['CVSS: 8.0', 'Exploitability: 3.5', 'Impact: 4.8', 'Exploit Available', 'Recent (30d)']",{},"Risk Level: Critical (91.9/100) | Key Factors: High CVSS score (8.0), Public exploit available, High exploitability (3.5), Recent disclosure (30 days) | Both ML models agree: Medium risk (Conf: 96%) | Action: Immediate (0-24 hours)",2025-11-16T22:42:39.444727,5
SCAN-1699,7.9722679162006616,3.5,4.783360749720397,1,1.0,1,0.9081788063049316,True,True,30,1,74.1808240076789,100.0,1.2,1.625,0.9954089403152466,91.8307024472259,Critical,Immediate (0-24 hours),"['CVSS: 8.0', 'Exploitability: 3.5', 'Impact: 4.8', 'Exploit Available', 'Recent (30d)']",{},"Risk Level: Critical (91.8/100) | Key Factors: High CVSS score (8.0), Public exploit available, High exploitability (3.5), Recent disclosure (30 days) | Both ML models agree: Medium risk (Conf: 95%) | Action: Immediate (0-24 hours)",2025-11-16T22:42:39.446056,6
SCAN-3674,7.7361019698052695,3.5,4.641661181883162,1,1.0,1,0.9837146401405334,True,True,30,1,72.79334907260595,100.0,1.2,1.625,0.9991857320070268,91.76322397399831,Critical,Immediate (0-24 hours),"['CVSS: 7.7', 'Exploitability: 3.5', 'Impact: 4.6', 'Exploit Available', 'Recent (30d)']",{},"Risk Level: Critical (91.8/100) | Key Factors: High CVSS score (7.7), Public exploit available, High exploitability (3.5), Recent disclosure (30 days) | Both ML models agree: Medium risk (Conf: 99%) | Action: Immediate (0-24 hours)",2025-11-16T22:42:39.445859,7
SCAN-3674,7.732256811758738,3.5,4.639354087055243,1,1.0,1,0.9841437339782715,True,True,30,1,72.77075876908259,100.0,1.2,1.625,0.9992071866989136,91.75842261200405,Critical,Immediate (0-24 hours),"['CVSS: 7.7', 'Exploitability: 3.5', 'Impact: 4.6', 'Exploit Available', 'Recent (30d)']",{},"Risk Level: Critical (91.8/100) | Key Factors: High CVSS score (7.7), Public exploit available, High exploitability (3.5), Recent disclosure (30 days) | Both ML models agree: Medium risk (Conf: 99%) | Action: Immediate (0-24 hours)",2025-11-16T22:42:39.444446,8
SCAN-3561,8.035261395802959,3.5,4.821156837481775,1,1.0,1,0.8571752905845642,True,True,30,1,74.55091070034237,100.0,1.2,1.625,0.9928587645292283,91.70567104478721,Critical,Immediate (0-24 hours),"['CVSS: 8.0', 'Exploitability: 3.5', 'Impact: 4.8', 'Exploit Available', 'Recent (30d)']",{},"Risk Level: Critical (91.7/100) | Key Factors: High CVSS score (8.0), Public exploit available, High exploitability (3.5), Recent disclosure (30 days) | Both ML models agree: Medium risk (Conf: 93%) | Action: Immediate (0-24 hours)",2025-11-16T22:42:39.445981,9
SCAN-1699,8.04553055632635,3.5,4.82731833379581,1,1.0,1,0.8474316596984863,True,True,30,1,74.6112420184173,100.0,1.2,1.625,0.9923715829849243,91.67863371403112,Critical,Immediate (0-24 hours),"['CVSS: 8.0', 'Exploitability: 3.5', 'Impact: 4.8', 'Exploit Available', 'Recent (30d)']",{},"Risk Level: Critical (91.7/100) | Key Factors: High CVSS score (8.0), Public exploit available, High exploitability (3.5), Recent disclosure (30 days) | Both ML models agree: Medium risk (Conf: 92%) | Action: Immediate (0-24 hours)",2025-11-16T22:42:39.444713,10
