feature,mean_abs_weight,mean_weight,std_weight,times_used,rank
cvss_base_score,0.12055524933949605,0.12055524933949605,0.004021139270349518,5,1
impact_score,0.1193866989746036,0.1193866989746036,0.006930806254694253,5,2
exploitability_score,0.022913017038696644,0.022913017038696644,0.004172256328415353,5,3
published_year,0.021312075748284278,-0.021312075748284278,0.0034440315520538976,5,4
remediation_level,0.015771778429568794,0.015771778429568794,0.0022331683204982484,5,5
reference_count,0.015484404679542338,0.015484404679542338,0.004345113260333681,5,6
cwe_count,0.015034679762140832,0.015034679762140832,0.0076335989712705615,5,7
report_confidence,0.010290355535906764,0.010290355535906764,0.006308622999955786,4,8
epss_score,0.009535187198593762,0.009535187198593762,0.00603623242229207,4,9
vulnerability_age,0.006551884258754481,0.006551884258754481,0.0060542990058395155,3,10
modified_year,0.005093312092263394,0.005093312092263394,0.0026534473815537736,4,11
cvss_v3_score,0.0,0.0,0.0,0,12
severity_score,0.0,0.0,0.0,0,13
access_complexity,0.0,0.0,0.0,0,14
availability_impact,0.0,0.0,0.0,0,15
integrity_impact,0.0,0.0,0.0,0,16
confidentiality_impact,0.0,0.0,0.0,0,17
network_accessible,0.0,0.0,0.0,0,18
access_vector,0.0,0.0,0.0,0,19
requires_auth,0.0,0.0,0.0,0,20
authentication_required,0.0,0.0,0.0,0,21
complexity_low,0.0,0.0,0.0,0,22
has_patch,0.0,0.0,0.0,0,23
is_public_exploit,0.0,0.0,0.0,0,24
exploit_available,0.0,0.0,0.0,0,25
cpe_count,0.0,0.0,0.0,0,26
vendor_count,0.0,0.0,0.0,0,27
temporal_cvss_score,0.0,0.0,0.0,0,28
has_known_exploited,0.0,0.0,0.0,0,29
product_count,0.0,0.0,0.0,0,30
