feature,importance,importance_normalized,rank
cvss_base_score,0.0,0,1
cvss_exploitability_score,0.0,0,2
cvss_impact_score,0.0,0,3
is_critical,0.0,0,4
is_high,0.0,0,5
is_medium,0.0,0,6
is_low,0.0,0,7
high_exploitability,0.0,0,8
high_impact,0.0,0,9
attack_vector_score,0.0,0,10
attack_complexity_score,0.0,0,11
privileges_required_score,0.0,0,12
user_interaction_score,0.0,0,13
confidentiality_score,0.0,0,14
integrity_score,0.0,0,15
availability_score,0.0,0,16
total_impact_score,0.0,0,17
has_exploit,0.0,0,18
exploit_cvss_interaction,0.0,0,19
age_days,0.0,0,20
days_since_modified,0.0,0,21
modification_span_days,0.0,0,22
publish_quarter,0.0,0,23
affected_products_count,0.0,0,24
single_product,0.0,0,25
multiple_products,0.0,0,26
widespread,0.0,0,27
cvss_severity_encoded,0.0,0,28
cvss_scope_encoded,0.0,0,29
